x,y
367,26
370,26
370,26
375,26
393,26
393,26
288,26
300,26
300,26
326,26
329,26
329,26
357,26
370,26
370,26
384,26
355,26
355,26
355,26
395,26
395,26
395,26
395,26
395,27
387,27
387,27
387,27
387,27
374,27
374,27
369,27
351,27
351,27
342,27
308,27
308,27
292,27
299,27
299,27
306,27
272,27
272,27
248,27
223,27
223,27
223,27
214,27
214,27
187,27
179,27
179,27
167,27
167,27
167,28
172,28
163,28
163,28
171,28
178,28
178,28
182,28
192,28
192,28
214,28
240,28
240,28
280,28
320,28
320,28
362,28
384,28
384,28
389,28
398,28
398,28
398,28
398,28
398,28
398,28
398,28
398,28
398,28
395,28
395,29
388,29
385,29
385,29
379,29
353,29
353,29
361,29
379,29
379,29
337,29
333,29
333,29
308,29
281,29
281,29
316,29
341,29
341,29
357,29
357,29
357,29
357,29
357,29
357,29
357,29
357,29
357,29
357,29
357,29
357,30
357,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,30
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
350,31
396,31
396,31
337,31
310,31
310,31
313,31
316,31
316,31
320,31
321,31
321,31
316,31
309,32
309,32
301,32
294,32
294,32
286,32
278,32
278,32
282,32
295,32
295,32
278,32
277,32
277,32
255,32
246,32
246,32
243,32
243,32
243,32
250,32
255,32
255,32
257,32
262,32
262,32
269,32
275,32
275,32
280,32
284,32
284,33
291,33
313,33
313,33
323,33
332,33
332,33
342,33
346,33
346,33
347,33
349,33
349,33
352,33
353,33
353,33
353,33
356,33
356,33
361,33
368,33
368,33
381,33
386,33
386,33
391,33
391,33
391,33
391,33
391,33
391,34
391,34
393,34
393,34
386,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
392,34
337,34
337,35
326,35
322,35
322,35
324,35
327,35
327,35
339,35
362,35
362,35
357,35
368,35
368,35
368,35
365,35
365,35
358,35
349,35
349,35
342,35
331,35
331,35
307,35
259,35
259,35
259,35
259,35
259,35
259,35
259,35
259,36
259,36
209,36
209,36
210,36
217,36
217,36
232,36
231,36
231,36
229,36
229,36
229,36
228,36
226,36
226,36
226,36
231,36
231,36
237,36
243,36
243,36
243,36
238,36
238,36
221,36
181,36
181,36
190,36
195,36
195,37
216,37
211,37
211,37
180,37
205,37
205,37
209,37
222,37
222,37
222,37
232,37
232,37
241,37
243,37
243,37
253,37
257,37
257,37
262,37
319,37
319,37
333,37
350,37
350,37
352,37
347,37
347,37
356,37
357,37
357,38
334,38
355,38
355,38
336,38
299,38
299,38
264,38
222,38
222,38
194,38
183,38
183,38
201,38
228,38
228,38
246,38
220,38
220,38
235,38
215,38
215,38
219,38
222,38
222,38
215,38
230,38
230,38
226,38
231,38
231,39
225,39
226,39
226,39
231,39
236,39
236,39
242,39
263,39
263,39
267,39
262,39
262,39
260,39
222,39
222,39
260,39
260,39
260,39
117,39
95,39
95,39
75,39
228,39
228,39
223,39
210,39
210,39
248,39
227,39
227,40
227,40
238,40
238,40
226,40
239,40
239,40
225,40
229,40
229,40
231,40
230,40
230,40
233,40
235,40
235,40
255,40
256,40
256,40
288,40
285,40
285,40
284,40
285,40
285,40
238,40
230,40
230,40
242,40
246,40
246,41
250,41
252,41
252,41
255,41
275,41
275,41
310,41
312,41
312,41
281,41
275,41
275,41
299,41
299,41
299,41
289,41
266,41
266,41
268,41
272,41
272,41
267,41
269,41
269,41
268,41
269,41
269,41
270,41
267,41
267,42
265,42
262,42
262,42
262,42
262,42
262,42
260,42
260,42
260,42
257,42
259,42
259,42
256,42
256,42
256,42
263,42
259,42
259,42
268,42
258,42
258,42
260,42
260,42
260,42
258,42
